"address","city","state","zip","latitude","longitude"
1085 HILL ROAD, NORTH PICKERINGTON,OH,43147,39.908608,-82.778695
3660 GENDER ROAD, CANAL WINCHESTER,OH,43110,39.906551,-82.82386
6781 E. MAIN STREET, REYNOLDSBURG,OH,43068,39.954603,-82.816664
7851 REFUGEE RD. NW, PICKERINGTON,OH,43147,39.90715,-82.735686
4381 REFUGEE ROAD, COLUMBUS,OH,43232,39.915075,-82.879674
4595 EAST MAIN STREET, WHITEHALL,OH,43213,39.955111,-82.876427
3996 SOUTH HAMILTON ROAD, GROVEPORT,OH,43125,39.892792,-82.881986
6250 PRENTISS SCHOOL ROAD, CANAL WINCHESTER,OH,43110,39.853467,-82.829052
243 WEST 400 SOUTH-RESTAURANT #6085, SALT LAKE CITY,UT,84101,40.619508,-111.594604
562 EAST 400 SOUTH, SALT LAKE CITY,UT,84102,40.760289,-111.874711
1090 SOUTH 300 WEST, SALT LAKE CITY,UT,84101,40.745545,-111.90013
1783 W. N. TEMPLE, SALT LAKE CITY,UT,84116,40.771415,-111.941436
2240 S. 1300 EAST, SALT LAKE CITY,UT,84106,40.722336,-111.854252
1309 FOOTHILL BLVD., SALT LAKE CITY,UT,84108,40.741342,-111.826213
484 WEST 4500, SOUTH MURRAY,UT,84123,40.674975,-111.905096
3149 W 3500 S, SALT LAKE CITY,UT,84119,40.696303,-111.966718
3259 EAST 3300, SOUTH SALT LAKE CITY,UT,84109,40.700201,-111.801758
823 KNOX ABBOTT DR., CAYCE,SC,29033,33.982035,-81.0618
300 BUSH RIVER RD., COLUMBIA,SC,29210,34.030461,-81.090067
3154 AUGUSTA RD W., COLUMBIA,SC,29170,33.977289,-81.125945
6892 GARNERS FERRY RD., COLUMBIA,SC,29209,33.97603,-80.95689
6019 ST. ANDREWS ROAD, COLUMBIA,SC,29210,34.052992,-81.159677
95 WOODCROSS DR, COLUMBIA,SC,29212,34.078306,-81.150188
6740 E BROAD STREET, COLUMBUS,OH,43213,39.982923,-82.817323
